Date,Video Title,Timestamp,Direct YouTube Link,Question,Answer
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",09:37,https://youtu.be/fHHujX1pgR0?t=577,"Pandit ji, you say that the Kalki avatar has already been born. I also came to know from the Malika about 256 devotees. I want to know, is this news true? And can we find or identify these 256 devotees?","Look, in the Bhavishya Malika, the Mahapurush Pancha Sakha wrote that when the branch of the Kalpavata (wish-fulfilling banyan tree) breaks and the flag from the Neel Chakra flies off repeatedly, at that time, Lord Kalki will be 11 years old. In March 2018, the branch of the Kalpavata inside the Shri Jagannath temple broke. This proves that Lord Kalki's incarnation has already happened. That's the answer to your first question. For the second question about the 256 devotees, they are the Nitya Pancha Sakha, who will remind people about Lord Kalki. Among them are the five Pandavas, who have already taken birth on Earth in human bodies. They are born as ordinary humans and their true potential will not be revealed until they meet Lord Kalki. Along with the twelve Gopals, who are parts of the Lord, and the five Pandavas, the 256 devotees have also arrived on Earth. They are born in India and other parts of the world. Regarding your question if we can meet or identify them, I must tell you that God has not given us the authority to identify them. God himself will do the identification. The Malika says that all these devotees from all over India and the world will gather at Khandagiri in Odisha, the Lord's place of residence. There, they will all see the child form of the Lord, Bal Govind, and their lives will be blessed. After seeing Vishnu, the divine Vaishnav power will manifest in their bodies, and they will go on to work for the establishment of Dharma in the world. Jai Jagannath."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",17:10,https://youtu.be/fHHujX1pgR0?t=1030,"Prabhu ji, tell me one thing, has Radha Rani ji taken birth?","Radha is the stream of love and devotion. Mother Radha Rani is in the heart of every devotee. The power of Radha Rani, which is half of the Lord's power, the Vaishnav shakti, the Lord's Yogamaya shakti, was in penance in her Vaishnavi form and has already met with Lord Kalki. Radha Rani has taken birth in a human body in the holy Jagannath Kshetra of Odisha, within the Panchkosi area, in the house of one of the temple's servitors. However, it is not right for us to reveal her identity, because she should remain hidden. Only the Lord has the right to speak about her and bring her before society. The Malika has written about this in detail, including her name. She has been born from the Vaishno Devi shakti in the sacred land of Puri, Jagannath Kshetra. Jai Jagannath."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",19:45,https://youtu.be/fHHujX1pgR0?t=1185,"I read in the Malika that eight goddesses have been tasked with protecting the devotees. But the numbers mentioned are very small, like 5,000, 2,000, 7,000. So how will the rest of the devotees be protected? The numbers add up to less than 50,000, but there are many more devotees than that.","What you've said is correct. The number of devotees involved in the program to establish Satyayuga is around 70,000 to 80,000. In total, across India and the world, there will be 33 crore devotees, who are gods and goddesses born in human bodies, and another 31 crore human devotees. The total population of the world will be 64 crore. The responsibility given to the goddesses for establishing Dharma, specifically the Ashta Chandi and Ashta Durga (the eight forms of Yogamaya like Kali, Durga, Varahi, etc.), is to directly appear to those 70,000 special devotees and engage them in the Lord's work. The remaining devotees will also be saved, but they will have to endure many hardships before they finally reach the Lord. They will not be directly involved in the administrative work of establishing Dharma in the new age. The goddesses will protect these special devotees and bring them to the Lord's refuge. This will happen both secretly and openly. For instance, you might find yourself in a situation where death seems certain, but at that moment, someone will come and save you. Then you will realize who saved you. The Malika says that the divine feminine powers will go from village to village to establish Dharma, and this is happening even today. The other devotees will be saved, but only after facing a lot of trouble will they reach the Lord. Jai Jagannath."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",23:43,https://youtu.be/fHHujX1pgR0?t=1423,"I am a devotee of Ananta Madhav ji and I want to become like Meera ji. So please tell me, will Meera ji also be reborn?","That's a very good question. We see Meera ji as a form of Radha. The Mother has many forms, and so does the Lord. Meera ji's body merged into the Lord's. Your desire to be like Meera is wonderful. Through Meera, the Lord proved that a devotee is greater than God. A devotee like Shabari is in no way different or less pure than Meera; think of how many ages she waited. If you have that motherly power and devotion, and you surrender to the Lord, you too can become Meera, you can become Radha. This human birth is a chance where one can become Dhruva, Prahlada, Narada, or Indra. We must make this sacred human body so pure by immersing ourselves in the ocean of the Lord's love and bliss that you can emerge as a devotee even greater than Meera Bai. But only God knows the extent of your faith and power. God fulfills such desires of the heart. So, remain in the Lord's refuge. Read the Srimad Bhagavatam daily and constantly chant the Lord's name. A true devotee is not concerned with what is happening in society. Their connection is only with the Brahman (the ultimate reality) and the Atman (the soul). Meditate with such focus. I respect your devotion and pray that God gives you the strength to fulfill your desire. Jai Jagannath."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",30:06,https://youtu.be/fHHujX1pgR0?t=1806,"As you said, Kali Yuga has ended. However, according to our Vedas and scriptures, the age of Kali Yuga is said to be 432,000 years. Please shed some light on this.","Tulsidas ji wrote about Kali Yuga, 'The path is whatever one fancies, and a scholar is one who just talks big.' This means that the saints and sages who are supposed to guide the world will mislead people with false and wrong paths. And what is happening in the world today? Analyze it yourself. Tulsidas ji also wrote that those who are supposed to impart culture to the world will preach for their own livelihood and speak falsehoods. They will stick to the 432,000-year figure and say Kali Yuga has not ended. Because if Kali Yuga ends, their livelihood, the money, the respect they are getting—where will all that go? When the Lord comes, the devotees will get their rights, and who will respect them then? So, the guides of Kali Yuga will speak lies. Tulsidas also wrote, 'One who is full of falsehood and arrogance, everyone considers him a saint.' This is why the Malika was written. This is why Lord Kalki took birth in the sacred land of Odisha. The scriptures say otherwise. Garg Muni wrote in the Garg Samhita that after 4,000 years, plus a 'sandhya' (transitional period) of 400 years, making it 4,800 years, Kali Yuga will end, and Sri Nath (Lord Krishna) will descend on Earth. Is this false? It is not. Furthermore, the Pancha Sakha Malika, written by Mahapurush Achyutananda, states that after 5,000 years, Lord Jagannath will leave his wooden form and take a human body. I am quoting the Malika. If people don't follow this, what will happen in the course of time? You who are in this satsang will surely witness it. Kali Yuga has ended. It has been 5,124 years. The time for establishing Dharma has come, and its first phase is ongoing. Everything will be proven between 2029 and 2031. Just hold on to Dharma. Make Lord Kalki your guru; He will guide you. Jai Jagannath."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",38:00,https://youtu.be/fHHujX1pgR0?t=2280,"Pandit ji, someone is saying that the Kali demon is yet to be born. I saw a video today where they were saying that the Kali demon has just been born in human form. They say Lord Kalki's incarnation hasn't happened yet, but the Kali demon's has.","Again, 'A scholar is one who just talks big.' These spiritual guides speak incorrectly. They have no connection with the Malika. The demon Kali was given five places to reside: gold, women, gambling, land, and sin. The Kali demon has many forms; he will never be born as a single human. In this age, there are crores of Kali demons, crores of Ravanas, crores of Kamsas. The 'Mlecchas' are those who are always immersed in these five things: women, land, wealth, violence, and sin. They are the Mlecchas, and they will be destroyed. A separate Kali demon will not be born. I don't know where people get these ideas. No scripture ever says this. The Srimad Bhagavatam says that at the end of Kali Yuga, when rulers become like dacoits, plundering the people, Lord Kalki, son of Vishnu Yash, will appear as the lord of the universe to destroy these demon-like kings and rulers. It never says a single Kali demon will come whom he will destroy. This is a confusing path created by people who have become saints for their livelihood. There is nothing like this in our Hindu Sanatana Dharma. The Lord will come to destroy the Mlecchas. Out of 800 crore people in the world, only 64 crore will remain. All those who perish are Mlecchas, who embody the form of Kali by holding onto those five things. Jai Jagannath."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",42:37,https://youtu.be/fHHujX1pgR0?t=2557,"Where is it? Is it near Bhubaneswar, Odisha? What is this place Chhatia where there is something related to Vishnu ji's Kalki avatar? I asked someone, and they told me it's in Chhatia village. When I said I wanted to go there for the darshan of Kalki ji, they told me it's not good or auspicious to go there. Why is that?","Listen, mother. First, the Malika has written a lot about Chhatia, but Chhatia is not the birthplace of Lord Kalki. Lord Kalki's birthplace is in the Biraja Kshetra, on the banks of the Baitarani Ganga, which is the center of the universe where Brahma first performed a yagna. That is where Lord Kalki will be born in a human body. Second, not everyone can have the darshan (holy sight) of the Lord just by wishing for it, because Lord Kalki is still in a hidden phase. He does not give darshan to everyone. 99% of people in Odisha do not know about him. Third, regarding Chhatia, it is the place where a saint named Haridas Maharaj had his ashram. On his samadhi (tomb), his disciples built a statue of Jagannath. On the samadhis of his son and grandson, they built statues of Balabhadra and Subhadra. These were man-made. The Malika says that a time will come when Muslim armies from 13 countries will attack the Jagannath temple. Before that, the Russian head of state will help move the wooden idols of Lord Jagannath to Chhatia for safety. The idols will stay there for seven days, and the temple will be destroyed. During those seven days, the worship of the wooden deities will happen in Chhatia, not Lord Kalki. A seven-day Rath Yatra (chariot festival) will also take place there, and the Russian leader will perform the ritual sweeping in front of the chariot, fulfilling a blessing from a past life. So, Chhatia is a temporary shelter for the Jagannath idols, not Kalki's birthplace. During this time, Lord Kalki, born in human form, will be performing his leela (divine play) across the world."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",50:38,https://youtu.be/fHHujX1pgR0?t=3038,"Sir, how many years are left for this to happen?",All of this will happen by 2029.
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",53:24,https://youtu.be/fHHujX1pgR0?t=3204,What will be the reason for the war between India and Pakistan? What will cause the war to break out?,"A war is already going on, a cold war. The Malika says that India and Pakistan will first fight playfully, meaning Pakistan will initiate small-scale conflicts. After that, it will join forces with China to gather its strength, and then a great, terrible war will happen. That time is not far away. It can start anytime from 2023 onwards. So, wait for that time. Jai Jagannath."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",54:36,https://youtu.be/fHHujX1pgR0?t=3276,"India's Prime Minister, Narendra Modi, is he good for India? There are claims against him that he is wrong and not doing anything for the country. Is he right? How is he?","Look, we are not in politics, and we do not like politics. We are in the path of Dharma and prefer righteousness. First, in a country where cow slaughter and animal slaughter happen, where there is unrighteousness, where the mother cow who nourished us with her milk is killed, I cannot call anyone good. I know nothing but Dharma. Whatever is righteous is good. We have no connection with any political person. Lord Kalki will judge what politicians do. Jai Jagannath."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",55:42,https://youtu.be/fHHujX1pgR0?t=3342,Is he the last prime minister of India?,"What will you gain from this? Look, to prove the Malika's prophecies, it is written that the last ruler of India will be a 'Jogi' (ascetic). The Gupta Malika by Mahapurush Achyutananda wrote this. And during the middle of his rule, there will be a military emergency. This is written in the Malika so that it can be proven. I don't believe in anyone's qualifications or purity. Jai Jagannath."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",56:43,https://youtu.be/fHHujX1pgR0?t=3403,"Pandit ji, I have a question. Since animals, like cows, are used and killed to make vaccines, should we take the vaccine? Will we become participants in that sin by taking it? Because if we take the vaccine, we are in a way accepting the killing of an animal.","Look, India is a public welfare nation, and its constitution is always written for the benefit of human society. As we are in a democracy, it is the duty of a saint and every citizen to follow the rules and discipline of the government. It is very important for all of us to follow the government's policies and maintain discipline, especially given the current crisis the world is facing. The steps our government is taking are for the welfare of human society. As disciplined citizens of India, we have to obey the order of the government; we are bound to obey the order of the government. About this, I will only say this much: follow the government's discipline. And follow the path of Dharma that I am showing you. God will save you. The reason we are meeting is to find out how human society and devotees can be saved. If devotees suffer, what will the Lord do? He has come for his devotees. So, follow the Lord's path. Read the Bhagavatam as a vaccine. Eat vegetarian food. Do not indulge in slander, covet others' women or wealth, or chase after wrong things. Always follow the path of truth, peace, compassion, and forgiveness. Lord Jagannath will protect you. Jai Jagannath."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",59:38,https://youtu.be/fHHujX1pgR0?t=3578,"Pandit ji, I wanted to ask, good people are moving towards goodness, and bad people are being destroyed. How long will this continue, and by when will Lord Kalki finish everything?","A river's stream flows to the ocean, and a sewer's stream flows to the drain. A devotee's stream flows to God. In every age, demons have never abandoned their ways. As it is said, 'Whenever there is a decline in righteousness and the arrogant demons rise, the Lord takes various forms to protect the virtuous.' When sin, arrogance, pride, and animal slaughter increase in the world, people think their wealth will save them, but I see that wealth cannot protect anyone. Only Dharma can. There are many types of people in society. We don't condemn people, we condemn their actions. No one is inherently bad, but the environment of the modern world makes them bad. Through satsang, people can change. It is our duty to spread the message of God and the Malika. Those who change will be saved; those who don't will be lost. Their fate is up to God. A time is coming when everyone will meet, just like in Vrindavan, and the Lord's divine play (leela) will unfold. We will meet like brothers and family. It will be a very joyous time, like Vrindavan's leela starting again. We can all participate in that leela if we stay on the right path and keep a watch on our karma."
2021-05-30,"L1 - भविष्य मालिका में कलियुग, LIVE by pandit kashinath Mishra",01:03:46,https://youtu.be/fHHujX1pgR0?t=3826,"I just want to ask, when the Kalki avatar comes, for how long will the Lord stay on Earth? A few weeks, a few months, or a few days?","Mother, listen. The Srimad Bhagavatam says that after 5,000 years of Kali Yuga, Mother Ganga leaves the Earth. It is now 5,126 years, which means Mother Ganga had already left the Earth according to the scriptures. But after Lord Kalki's incarnation, Mother Ganga has descended on Earth again. The cloudburst that happened in Kedarnath, which the government talks about, was the second descent of the Ganga. She returned to Earth, flowing over Lord Kedarnath's head, because the Lord has come. When the Lord comes, Mother Ganga also comes. History shows Ganga descended on Shiva's head only once when Bhagirath called her. This recent event is unprecedented. Mother Ganga has returned, and you can see she is being cleaned and her purity is increasing. This is proof that the Kalki avatar is on Earth. Understand this and explain it to others, or they will lose their way with no one to guide them."
